0    DEBUG [2023-05-30 16:30:19]  Couldn't find template in cache for "blog/amaze/index.ftlh"("zh_CN", UTF-8, parsed); will try to load it.
3    DEBUG [2023-05-30 16:30:19]  TemplateLoader.findTemplateSource("blog/amaze/index_zh_CN.ftlh"): Not found
5    DEBUG [2023-05-30 16:30:19]  TemplateLoader.findTemplateSource("blog/amaze/index_zh.ftlh"): Not found
5    DEBUG [2023-05-30 16:30:19]  TemplateLoader.findTemplateSource("blog/amaze/index.ftlh"): Not found
4    DEBUG [2023-05-30 16:45:17]  TemplateLoader.findTemplateSource("admin/login_zh.ftlh"): Not found
4    DEBUG [2023-05-30 16:45:17]  TemplateLoader.findTemplateSource("admin/login.ftlh"): Not found
2330 DEBUG [2023-05-30 16:45:19]  TemplateLoader.findTemplateSource("admin/login_zh_CN.ftlh"): Not found
2331 DEBUG [2023-05-30 16:45:19]  TemplateLoader.findTemplateSource("admin/login_zh.ftlh"): Not found
2331 DEBUG [2023-05-30 16:45:19]  TemplateLoader.findTemplateSource("admin/login.ftlh"): Not found
2331 DEBUG [2023-05-30 16:45:19]  "admin/login.ftlh"("zh_CN", UTF-8, parsed) no source found.
90749 DEBUG [2023-05-30 16:46:48]  TemplateLoader.findTemplateSource("admin/login_zh_CN.ftlh"): Not found
90750 DEBUG [2023-05-30 16:46:48]  TemplateLoader.findTemplateSource("admin/login_zh.ftlh"): Not found
90750 DEBUG [2023-05-30 16:46:48]  TemplateLoader.findTemplateSource("admin/login.ftlh"): Not found
90750 DEBUG [2023-05-30 16:46:48]  "admin/login.ftlh"("zh_CN", UTF-8, parsed) no source found.
1    DEBUG [2023-05-30 16:51:03]  Couldn't find template in cache for "admin/login.ftlh"("zh_CN", UTF-8, parsed); will try to load it.
3    DEBUG [2023-05-30 16:51:03]  TemplateLoader.findTemplateSource("admin/login_zh_CN.ftlh"): Not found
4    DEBUG [2023-05-30 16:51:03]  TemplateLoader.findTemplateSource("admin/login_zh.ftlh"): Not found
4    DEBUG [2023-05-30 16:51:03]  TemplateLoader.findTemplateSource("admin/login.ftlh"): Not found
